x1,x2,x3,x4,x5,x6,x7,BusExp,x8,x9,x10,x11,x12,x13,x14,Leg3yrs,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x44,x45,X46,x47,DBZArrears,Y1,X5_B,X8_B,X10_B,X11_B,X13_B,X15_B,X21_B,X22_B,X23_B,X24_B,X25_B,X26_B,X27_B,X29_B,X30_B,X31_B,X32_B,X35_B,X36_B,X38_B,X39_B,X40_B,X41_B,X47_B,,,,
0.07062231,0.09048599,0.066048569,0.132472861,2,141,3,1,1,1,1,2,1,3,1,1,1,1,5,1,1,0,0,2,4,2,1,3,3,1,2,3,4,1,2,1,5,4,1,1,3,1,2,1,1,0,1,1,4,0,-0.0734242,0,0,-0.037512,0.081681,0,0,0.0389254,0.048658,0.1820028,0,-0.0520806,0.1977084,-0.1141034,-0.1170087,0.3149208,0,0.6540055,0.0406388,0,-0.1396392,0,0.2213062,-0.1243562,,,,
0.952829438,0.245254512,0.093894654,0.589993069,1,23,1,1,6,1,3,1,1,3,0,1,3,1,2,1,1,1,5,3,2,0,1,1,2,1,3,2,4,2,2,1,5,4,1,3,3,1,2,1,1,0,0,1,1,1,0,0.1991334,0.026991,0,0.081681,0.2457741,-0.1125469,0.3184479,0.0048212,,0,0,0.0168212,0.0230274,-0.0069322,0.3149208,-0.1027042,0.6540055,0.0406388,-0.012048,-0.1396392,0,0.2213062,0.0240762,,,,
-0.17347008,0.060540792,0.170262677,0.480478233,1,20,1,1,3,1,2,5,1,3,1,1,2,0,5,1,1,0,0,3,3,1,2,1,1,1,2,1,4,1,1,0,5,2,1,3,1,3,1,0,1,1,1,1,3,0,0,0.4812108,0.1084876,0.2546845,0.081681,0.1638494,-0.430398,0.3184479,-0.1617789,0.1210122,0.1653404,0,0,-0.1141034,0,0.3149208,0,0.6540055,-0.095697,-0.012048,0,-0.0994614,0,0.0240762,,,,
0.087183552,0.032367562,0.086267305,0.366033564,1,130,1,3,3,0,1,2,1,3,1,1,1,0,5,0,0,0,0,2,3,0,1,4,1,0,1,1,2,1,2,1,3,2,0,1,2,2,2,0,0,1,0,3,2,1,0,0.4812108,0,-0.037512,0.081681,0,-0.3005478,0.0389254,-0.1617789,,0,-0.1839524,0,0,0,0.0986864,0,0.470607,-0.095697,0,-0.0457358,0.0150968,0.2213062,0.0240762,,,,
-0.187528454,0.046422953,0.071689181,0.278824559,3,151,3,3,2,0,3,1,0,1,0,1,2,0,1,0,1,1,4,2,4,2,3,2,1,1,1,2,1,2,2,1,4,4,1,2,1,2,4,1,0,0,0,3,2,0,-0.0161955,-0.037512,0.026991,0,0,0.1638494,0,0.0389254,0.048658,0.1820028,-0.0720777,-0.0582926,0,0,-0.0069322,0,-0.1027042,0.0913428,0.0406388,0.1261138,0,0.0150968,0.3661716,0.0240762,,,,
0.203280328,0.077350771,0.08163617,0.051824054,1,6,3,1,3,1,3,5,0,1,0,0,3,0,3,0,0,1,2,2,3,2,3,3,1,1,1,2,2,1,2,1,4,3,1,3,2,3,1,1,1,0,1,1,3,0,0,0.4812108,0.026991,0.2546845,0,0.2457741,0,0.0389254,-0.1617789,0.1820028,-0.0720777,-0.0520806,0,0,-0.0069322,0.0986864,0,0.0913428,0.0329004,-0.012048,-0.0457358,-0.0994614,0,0,,,,
-0.098731275,0.05390346,0.054796714,0.498908052,2,135,2,1,2,1,2,1,0,3,0,0,1,0,2,0,0,0,0,1,4,0,3,4,1,1,2,1,4,2,1,1,2,4,0,3,3,3,1,0,0,1,1,1,4,0,-0.0734242,-0.037512,0.1084876,0,0.081681,0,0,0,0.048658,,-0.0720777,-0.1839524,0,-0.1141034,0,0.3149208,-0.1027042,0.2599122,0.0406388,-0.012048,-0.1396392,-0.0994614,0,0,,,,
0.158380007,0.101280521,0.042009872,0.197926815,3,42,2,3,3,1,1,4,0,1,0,0,2,0,3,1,0,1,3,2,2,0,2,2,1,1,3,1,1,1,2,1,2,4,0,3,2,3,1,0,0,0,0,3,4,0,-0.0161955,0.4812108,0,-0.0387804,0,0.1638494,0,0.0389254,0.0048212,,0.1653404,-0.0582926,0,0.0230274,0,0,0,0.2599122,0.0406388,-0.012048,-0.0457358,-0.0994614,0,0.0240762,,,,
0.524042976,0.052553085,0.088538119,0.80877091,1,4,3,1,2,1,2,4,1,3,0,1,1,1,4,1,1,1,5,3,2,2,2,2,3,0,1,1,1,1,1,0,5,5,1,1,1,1,3,1,0,0,1,1,2,1,0,-0.037512,0.1084876,-0.0387804,0.081681,0,0,0.3184479,0.0048212,0.1820028,0.1653404,-0.0582926,0.1977084,0,0,0,0,0.6540055,-0.225641,0,0,0,0.1642269,0,,,,
-0.267610236,0.023693868,0.059535087,0.196965564,3,96,1,3,4,0,3,5,1,2,0,1,3,1,5,1,1,1,2,2,1,0,2,2,3,1,3,1,1,1,2,1,4,5,0,1,2,2,3,0,0,1,1,3,1,1,-0.0161955,-0.0387804,0.026991,0.2546845,0.240783,0.2457741,-0.430398,0.0389254,0,,0.1653404,-0.0582926,0.1977084,0.0230274,0,0,0,0.0913428,-0.225641,0,-0.0457358,0.0150968,0.1642269,0,,,,
